Title,Release Year,Rating,Genre,Country
Cartoon Family,1996,6.5,Family| Romance| Comedy,Argentina
Batman: The Brave and the Bold,2008,7.3,Animation| Action| Adventure| Crime| Family| Fantasy| Sci-Fi,USA
Button Moon,1980,7.2,Family,UK
Dabox,1999,6.3,Comedy,France
Save Me,2018,7.7,Drama| Mystery,UK
Duts,2010,7.4,Comedy,Belgium
E/R,1984,7.1,Comedy,USA
Taste the Nation with Padma Lakshmi,2020,8.3,Adventure,USA
Black Books,2001,8.5,Comedy,UK
Soul Mates,2014,7.7,Comedy| Fantasy,Australia
Lindsay Lohan's Beach Club,2019,3.9,Reality-TV,USA
He-Man and the Masters of the Universe,1983,7.5,Animation| Action| Adventure| Family| Fantasy| Sci-Fi,USA
The Venture Bros.,2003,8.5,Animation| Action| Adventure| Comedy| Sci-Fi,USA
Books,2011,7.9,Comedy| Drama,USA
Hustle,2006,8.1,Crime| Drama| Mystery,UK
Black Boots,2013,8.6,Drama,USA
Steve Canyon,1958,7.8,Adventure,USA
Body of Proof,2011,7.1,Comedy| Crime| Drama| Mystery,USA
Club MTV,1985,8.6,Music,USA
Sand Masters,2011,8.1,Reality-TV,USA
Angel,1999,7.9,Action| Drama| Fantasy| Thriller,USA
He & She,1967,8.8,Comedy| Romance,USA
When the Streetlights Go On,2020,6.7,Short| Crime| Drama| Mystery,USA
Darkwing Duck,1991,7.6,Animation| Action| Adventure| Comedy| Family| Mystery| Sci-Fi,USA
Azmi & Ashjan,2018,5.2,Comedy,Egypt
Stop & Go,1998,2.2,Drama,Singapore
Kill la Kill,2015,7.9,Animation| Action| Comedy| Drama| Sci-Fi,Japan
Scout & the Gumboot Kids,2015,8.6,Family,Canada
Padam Padam,2011,7.9,Fantasy| Romance,South Korea
Andy's Gang,1955,8.2,Comedy| Family,USA
Spider Man,1978,6.3,Action| Adventure| Family| Sci-Fi,Japan
Kids Unlimited,2007,8.5,Comedy| Drama| Family,USA
Krisse,2003,4.7,Comedy| Talk-Show,Finland
